library_ID,fastq_fwd_file_name,fastq_rev_file_name,host_genus,host_species,coral_tag,site_name,sequencing_run,expedition,sample_name,sra_accession
131-KI13_S311_L001,131-KI13_S311_L001_R1_001.fastq.gz,131-KI13_S311_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-131,27,run10_shedd2024,2013,KI13_131,SAMN49904202
132-KI13_S319_L001,132-KI13_S319_L001_R1_001.fastq.gz,132-KI13_S319_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-132,27,run10_shedd2024,2013,KI13_132,SAMN49904208
134-KI13_S327_L001,134-KI13_S327_L001_R1_001.fastq.gz,134-KI13_S327_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-134,27,run10_shedd2024,2013,KI13_134,SAMN49904203
135-KI13_S335_L001,135-KI13_S335_L001_R1_001.fastq.gz,135-KI13_S335_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-135,27,run10_shedd2024,2013,KI13_135,SAMN49904209
141-KI13_S127_L001,141-KI13_S127_L001_R1_001.fastq.gz,141-KI13_S127_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-141,27,run10_shedd2024,2013,KI13_141,SAMN49904210
144-KI13_S135_L001,144-KI13_S135_L001_R1_001.fastq.gz,144-KI13_S135_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-144,27,run10_shedd2024,2013,KI13_144,SAMN49904211
147-KI13_S143_L001,147-KI13_S143_L001_R1_001.fastq.gz,147-KI13_S143_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-147,27,run10_shedd2024,2013,KI13_147,SAMN49904212
148-KI13_S111_L001,148-KI13_S111_L001_R1_001.fastq.gz,148-KI13_S111_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-148,27,run10_shedd2024,2013,KI13_148,SAMN49904204
150-KI13_S119_L001,150-KI13_S119_L001_R1_001.fastq.gz,150-KI13_S119_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-150,27,run10_shedd2024,2013,KI13_150,SAMN49904205
194-KI13_S364_L001,194-KI13_S364_L001_R1_001.fastq.gz,194-KI13_S364_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-194,25,run10_shedd2024,2013,KI13_194,SAMN49904275
283-KI13-2_S372_L001,283-KI13-2_S372_L001_R1_001.fastq.gz,283-KI13-2_S372_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-283,20,run10_shedd2024,2013,KI13_283,SAMN49904194
284-KI13_S255_L001,284-KI13_S255_L001_R1_001.fastq.gz,284-KI13_S255_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-284,20,run10_shedd2024,2013,KI13_284,SAMN49904188
286-KI13_S263_L001,286-KI13_S263_L001_R1_001.fastq.gz,286-KI13_S263_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-286,20,run10_shedd2024,2013,KI13_286,SAMN49904195
287-KI13_S271_L001,287-KI13_S271_L001_R1_001.fastq.gz,287-KI13_S271_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-287,20,run10_shedd2024,2013,KI13_287,SAMN49904189
289-KI13_S190_L001,289-KI13_S190_L001_R1_001.fastq.gz,289-KI13_S190_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-289,20,run10_shedd2024,2013,KI13_289,SAMN49904196
290-KI13_S279_L001,290-KI13_S279_L001_R1_001.fastq.gz,290-KI13_S279_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-290,20,run10_shedd2024,2013,KI13_290,SAMN49904190
293-KI13_S142_L001,293-KI13_S142_L001_R1_001.fastq.gz,293-KI13_S142_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-293,20,run10_shedd2024,2013,KI13_293,SAMN49904191
296-KI13_S150_L001,296-KI13_S150_L001_R1_001.fastq.gz,296-KI13_S150_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-296,20,run10_shedd2024,2013,KI13_296,SAMN49904192
298-KI13_S223_L001,298-KI13_S223_L001_R1_001.fastq.gz,298-KI13_S223_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-298,20,run10_shedd2024,2013,KI13_298,SAMN49904197
299-KI13_S158_L001,299-KI13_S158_L001_R1_001.fastq.gz,299-KI13_S158_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-299,20,run10_shedd2024,2013,KI13_299,SAMN49904193
50-KI13_S381_L001,50-KI13_S381_L001_R1_001.fastq.gz,50-KI13_S381_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-50,8,run10_shedd2024,2013,KI13_50,SAMN49904164
59-KI13_S373_L001,59-KI13_S373_L001_R1_001.fastq.gz,59-KI13_S373_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-59,8,run10_shedd2024,2013,KI13_59,SAMN49904166
60-KI13_S348_L001,60-KI13_S348_L001_R1_001.fastq.gz,60-KI13_S348_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-60,8,run10_shedd2024,2013,KI13_60,SAMN49904165
65-KI13_S246_L001,65-KI13_S246_L001_R1_001.fastq.gz,65-KI13_S246_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-65,30,run10_shedd2024,2013,KI13_65,SAMN49904213
66-KI13_S254_L001,66-KI13_S254_L001_R1_001.fastq.gz,66-KI13_S254_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-66,30,run10_shedd2024,2013,KI13_66,SAMN49904216
71-KI13_S278_L001,71-KI13_S278_L001_R1_001.fastq.gz,71-KI13_S278_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-71,30,run10_shedd2024,2013,KI13_71,SAMN49904214
72-KI13_S286_L001,72-KI13_S286_L001_R1_001.fastq.gz,72-KI13_S286_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-72,30,run10_shedd2024,2013,KI13_72,SAMN49904217
74-KI13_S262_L001,74-KI13_S262_L001_R1_001.fastq.gz,74-KI13_S262_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-74,30,run10_shedd2024,2013,KI13_74,SAMN49904215
75-KI13_S270_L001,75-KI13_S270_L001_R1_001.fastq.gz,75-KI13_S270_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-75,30,run10_shedd2024,2013,KI13_75,SAMN49904218
802-KI13_S166_L001,802-KI13_S166_L001_R1_001.fastq.gz,802-KI13_S166_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-802,20,run10_shedd2024,2013,KI13_802,SAMN49904198
809-KI13_S174_L001,809-KI13_S174_L001_R1_001.fastq.gz,809-KI13_S174_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-809,20,run10_shedd2024,2013,KI13_809,SAMN49904199
810-KI13_S182_L001,810-KI13_S182_L001_R1_001.fastq.gz,810-KI13_S182_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-810,20,run10_shedd2024,2013,KI13_810,SAMN49904200
849-KI13_S383_L001,849-KI13_S383_L001_R1_001.fastq.gz,849-KI13_S383_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-849,14,run10_shedd2024,2013,KI13_849,SAMN49904170
861-KI13_S378_L001,861-KI13_S378_L001_R1_001.fastq.gz,861-KI13_S378_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-861,19,run10_shedd2024,2013,KI13_861,SAMN49904184
863-KI13_S360_L001,863-KI13_S360_L001_R1_001.fastq.gz,863-KI13_S360_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-863,19,run10_shedd2024,2013,KI13_863,SAMN49904178
869-KI13_S175_L001,869-KI13_S175_L001_R1_001.fastq.gz,869-KI13_S175_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-869,19,run10_shedd2024,2013,KI13_869,SAMN49904179
870-KI13_S191_L001,870-KI13_S191_L001_R1_001.fastq.gz,870-KI13_S191_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-870,19,run10_shedd2024,2013,KI13_870,SAMN49904185
872-KI13_S167_L001,872-KI13_S167_L001_R1_001.fastq.gz,872-KI13_S167_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-872,19,run10_shedd2024,2013,KI13_872,SAMN49904180
873-KI13_S126_L001,873-KI13_S126_L001_R1_001.fastq.gz,873-KI13_S126_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-873,19,run10_shedd2024,2013,KI13_873,SAMN49904186
875-KI13_S183_L001,875-KI13_S183_L001_R1_001.fastq.gz,875-KI13_S183_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-875,19,run10_shedd2024,2013,KI13_875,SAMN49904181
876-KI13_S299_L001,876-KI13_S299_L001_R1_001.fastq.gz,876-KI13_S299_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-876,19,run10_shedd2024,2013,KI13_876,SAMN49904187
878-KI13_S365_L001,878-KI13_S365_L001_R1_001.fastq.gz,878-KI13_S365_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-878,19,run10_shedd2024,2013,KI13_878,SAMN49904182
881-KI13_S199_L001,881-KI13_S199_L001_R1_001.fastq.gz,881-KI13_S199_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-881,15,run10_shedd2024,2013,KI13_881,SAMN49904171
882-KI13_S207_L001,882-KI13_S207_L001_R1_001.fastq.gz,882-KI13_S207_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-882,15,run10_shedd2024,2013,KI13_882,SAMN49904174
883-KI13_S215_L001,883-KI13_S215_L001_R1_001.fastq.gz,883-KI13_S215_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-883,15,run10_shedd2024,2013,KI13_883,SAMN49904172
886-KI13_S231_L001,886-KI13_S231_L001_R1_001.fastq.gz,886-KI13_S231_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-886,15,run10_shedd2024,2013,KI13_886,SAMN49904173
888-KI13_S239_L001,888-KI13_S239_L001_R1_001.fastq.gz,888-KI13_S239_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-888,15,run10_shedd2024,2013,KI13_888,SAMN49904175
934-KI13_S103_L001,934-KI13_S103_L001_R1_001.fastq.gz,934-KI13_S103_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-934,27,run10_shedd2024,2013,KI13_934,SAMN49904206
KI14FSYM010_S1_L001,KI14FSYM010_S1_L001_R1_001.fastq.gz,KI14FSYM010_S1_L001_R2_001.fastq.gz,Montipora,aequituberculata,10,35,run5,2014,KI14_10,SAMN49903984
144_S144_L001,144_S144_L001_R1_001.fastq.gz,144_S144_L001_R2_001.fastq.gz,Montipora,aequituberculata,102,35,run2,2014,KI14_102,SAMN49903676
145_S145_L001,145_S145_L001_R1_001.fastq.gz,145_S145_L001_R2_001.fastq.gz,Montipora,aequituberculata,105,35,run2,2014,KI14_105,SAMN49903677
146_S146_L001,146_S146_L001_R1_001.fastq.gz,146_S146_L001_R2_001.fastq.gz,Pocillopora,grandis,106,35,run2,2014,KI14_106,SAMN49903678
148_S148_L001,148_S148_L001_R1_001.fastq.gz,148_S148_L001_R2_001.fastq.gz,Pocillopora,grandis,109,35,run2,2014,KI14_109,SAMN49903679
KI14FSYM110_S80_L001,KI14FSYM110_S80_L001_R1_001.fastq.gz,KI14FSYM110_S80_L001_R2_001.fastq.gz,Montipora,aequituberculata,110,35,run5,2014,KI14_110,SAMN49903986
KI14FSYM114_116_S6_L001,KI14FSYM114_116_S6_L001_R1_001.fastq.gz,KI14FSYM114_116_S6_L001_R2_001.fastq.gz,Pocillopora,grandis,114,35,run5,2014,KI14_114,SAMN49903991
KI14FSYM117_S14_L001,KI14FSYM117_S14_L001_R1_001.fastq.gz,KI14FSYM117_S14_L001_R2_001.fastq.gz,Montipora,aequituberculata,117,35,run5,2014,KI14_117,SAMN49903987
KI14FSYM120_S28_L001,KI14FSYM120_S28_L001_R1_001.fastq.gz,KI14FSYM120_S28_L001_R2_001.fastq.gz,Pocillopora,grandis,120,35,run5,2014,KI14_120,SAMN49903988
KI14FSYM121_S34_L001,KI14FSYM121_S34_L001_R1_001.fastq.gz,KI14FSYM121_S34_L001_R2_001.fastq.gz,Montipora,aequituberculata,121,35,run5,2014,KI14_121,SAMN49903992
KI14FSYM123_S50_L001,KI14FSYM123_S50_L001_R1_001.fastq.gz,KI14FSYM123_S50_L001_R2_001.fastq.gz,Pocillopora,grandis,123,35,run5,2014,KI14_123,SAMN49903989
KI14FSYM125_S65_L001,KI14FSYM125_S65_L001_R1_001.fastq.gz,KI14FSYM125_S65_L001_R2_001.fastq.gz,Pocillopora,grandis,125,35,run5,2014,KI14_125,SAMN49903990
150_S150_L001,150_S150_L001_R1_001.fastq.gz,150_S150_L001_R2_001.fastq.gz,Pocillopora,grandis,129,30,run2,2014,KI14_129,SAMN49903659
126_S126_L001,126_S126_L001_R1_001.fastq.gz,126_S126_L001_R2_001.fastq.gz,Pocillopora,grandis,13,35,run2,2014,KI14_13,SAMN49903672
152_S152_L001,152_S152_L001_R1_001.fastq.gz,152_S152_L001_R2_001.fastq.gz,Pocillopora,grandis,132,30,run2,2014,KI14_132,SAMN49903660
153_S153_L001,153_S153_L001_R1_001.fastq.gz,153_S153_L001_R2_001.fastq.gz,Montipora,aequituberculata,133,30,run2,2014,KI14_133,SAMN49903661
154_S154_L001,154_S154_L001_R1_001.fastq.gz,154_S154_L001_R2_001.fastq.gz,Montipora,aequituberculata,134,30,run2,2014,KI14_134,SAMN49903662
155_S155_L001,155_S155_L001_R1_001.fastq.gz,155_S155_L001_R2_001.fastq.gz,Pocillopora,grandis,135,30,run2,2014,KI14_135,SAMN49903663
157_S157_L001,157_S157_L001_R1_001.fastq.gz,157_S157_L001_R2_001.fastq.gz,Montipora,aequituberculata,137,30,run2,2014,KI14_137,SAMN49903664
KI14FSYM139_S81_L001,KI14FSYM139_S81_L001_R1_001.fastq.gz,KI14FSYM139_S81_L001_R2_001.fastq.gz,Pocillopora,grandis,139,30,run5,2014,KI14_139,SAMN49903942
KI14FSYM014_S9_L001,KI14FSYM014_S9_L001_R1_001.fastq.gz,KI14FSYM014_S9_L001_R2_001.fastq.gz,Montipora,aequituberculata,14,35,run5,2014,KI14_14,SAMN49903985
159_S159_L001,159_S159_L001_R1_001.fastq.gz,159_S159_L001_R2_001.fastq.gz,Pocillopora,grandis,142,30,run2,2014,KI14_142,SAMN49903665
KI14FSYM143_S7_L001,KI14FSYM143_S7_L001_R1_001.fastq.gz,KI14FSYM143_S7_L001_R2_001.fastq.gz,Montipora,aequituberculata,143,30,run5,2014,KI14_143,SAMN49903943
KI14FSYM145_S15_L001,KI14FSYM145_S15_L001_R1_001.fastq.gz,KI14FSYM145_S15_L001_R2_001.fastq.gz,Pocillopora,grandis,145,30,run5,2014,KI14_145,SAMN49903944
162_S162_L001,162_S162_L001_R1_001.fastq.gz,162_S162_L001_R2_001.fastq.gz,Montipora,aequituberculata,147,30,run2,2014,KI14_147,SAMN49903666
163_S163_L001,163_S163_L001_R1_001.fastq.gz,163_S163_L001_R2_001.fastq.gz,Pocillopora,grandis,149,30,run2,2014,KI14_149,SAMN49903667
KI14FSYM152_S29_L001,KI14FSYM152_S29_L001_R1_001.fastq.gz,KI14FSYM152_S29_L001_R2_001.fastq.gz,Pocillopora,grandis,152,30,run5,2014,KI14_152,SAMN49903945
KI14FSYM154_S35_L001,KI14FSYM154_S35_L001_R1_001.fastq.gz,KI14FSYM154_S35_L001_R2_001.fastq.gz,Pocillopora,grandis,154,3,run5,2014,KI14_154,SAMN49903860
KI14FSYM155_S43_L001,KI14FSYM155_S43_L001_R1_001.fastq.gz,KI14FSYM155_S43_L001_R2_001.fastq.gz,Montipora,aequituberculata,155,3,run5,2014,KI14_155,SAMN49903837
KI14FSYM159_S66_L001,KI14FSYM159_S66_L001_R1_001.fastq.gz,KI14FSYM159_S66_L001_R2_001.fastq.gz,Pocillopora,grandis,159,3,run5,2014,KI14_159,SAMN49903838
KI14FSYM160_S74_L001,KI14FSYM160_S74_L001_R1_001.fastq.gz,KI14FSYM160_S74_L001_R2_001.fastq.gz,Montipora,aequituberculata,160,3,run5,2014,KI14_160,SAMN49903839
KI14FSYM162_S82_L001,KI14FSYM162_S82_L001_R1_001.fastq.gz,KI14FSYM162_S82_L001_R2_001.fastq.gz,Montipora,aequituberculata,162,3,run5,2014,KI14_162,SAMN49903840
KI14FSYM163_S89_L001,KI14FSYM163_S89_L001_R1_001.fastq.gz,KI14FSYM163_S89_L001_R2_001.fastq.gz,Pocillopora,grandis,163,3,run5,2014,KI14_163,SAMN49903841
KI14FSYM165_S16_L001,KI14FSYM165_S16_L001_R1_001.fastq.gz,KI14FSYM165_S16_L001_R2_001.fastq.gz,Montipora,aequituberculata,165,3,run5,2014,KI14_165,SAMN49903842
KI14FSYM166_S22_L001,KI14FSYM166_S22_L001_R1_001.fastq.gz,KI14FSYM166_S22_L001_R2_001.fastq.gz,Pocillopora,grandis,166,3,run5,2014,KI14_166,SAMN49903843
KI14FSYM170_S44_L001,KI14FSYM170_S44_L001_R1_001.fastq.gz,KI14FSYM170_S44_L001_R2_001.fastq.gz,Montipora,aequituberculata,170,3,run5,2014,KI14_170,SAMN49903844
KI14FSYM171_S52_L001,KI14FSYM171_S52_L001_R1_001.fastq.gz,KI14FSYM171_S52_L001_R2_001.fastq.gz,Pocillopora,grandis,171,3,run5,2014,KI14_171,SAMN49903845
KI14FSYM174_S67_L001,KI14FSYM174_S67_L001_R1_001.fastq.gz,KI14FSYM174_S67_L001_R2_001.fastq.gz,Pocillopora,grandis,174,3,run5,2014,KI14_174,SAMN49903846
KI14FSYM175_S83_L001,KI14FSYM175_S83_L001_R1_001.fastq.gz,KI14FSYM175_S83_L001_R2_001.fastq.gz,Montipora,aequituberculata,175,3,run5,2014,KI14_175,SAMN49903847
KI14FSYM178_S97_L001,KI14FSYM178_S97_L001_R1_001.fastq.gz,KI14FSYM178_S97_L001_R2_001.fastq.gz,Montipora,aequituberculata,178,3,run5,2014,KI14_178,SAMN49903848
KI14FSYM179_S104_L001,KI14FSYM179_S104_L001_R1_001.fastq.gz,KI14FSYM179_S104_L001_R2_001.fastq.gz,Pocillopora,grandis,179,3,run5,2014,KI14_179,SAMN49903849
KI14FSYM182_S117_L001,KI14FSYM182_S117_L001_R1_001.fastq.gz,KI14FSYM182_S117_L001_R2_001.fastq.gz,Montipora,aequituberculata,182,3,run5,2014,KI14_182,SAMN49903850
KI14FSYM184_S131_L001,KI14FSYM184_S131_L001_R1_001.fastq.gz,KI14FSYM184_S131_L001_R2_001.fastq.gz,Pocillopora,grandis,184,3,run5,2014,KI14_184,SAMN49903851
KI14FSYM185_S138_L001,KI14FSYM185_S138_L001_R1_001.fastq.gz,KI14FSYM185_S138_L001_R2_001.fastq.gz,Montipora,aequituberculata,185,3,run5,2014,KI14_185,SAMN49903852
KI14FSYM186_S146_L001,KI14FSYM186_S146_L001_R1_001.fastq.gz,KI14FSYM186_S146_L001_R2_001.fastq.gz,Pocillopora,grandis,186,3,run5,2014,KI14_186,SAMN49903853
KI14FSYM189_S161_L001,KI14FSYM189_S161_L001_R1_001.fastq.gz,KI14FSYM189_S161_L001_R2_001.fastq.gz,Pocillopora,grandis,189,38,run5,2014,KI14_189,SAMN49904001
KI14FSYM193_S168_L001,KI14FSYM193_S168_L001_R1_001.fastq.gz,KI14FSYM193_S168_L001_R2_001.fastq.gz,Pocillopora,grandis,193,38,run5,2014,KI14_193,SAMN49904002
KI14FSYM196_S91_L001,KI14FSYM196_S91_L001_R1_001.fastq.gz,KI14FSYM196_S91_L001_R2_001.fastq.gz,Pocillopora,grandis,196,38,run5,2014,KI14_196,SAMN49904003
KI14FSYM198_S98_L001,KI14FSYM198_S98_L001_R1_001.fastq.gz,KI14FSYM198_S98_L001_R2_001.fastq.gz,Montipora,aequituberculata,198,38,run5,2014,KI14_198,SAMN49904004
119_S119_L001,119_S119_L001_R1_001.fastq.gz,119_S119_L001_R2_001.fastq.gz,Montipora,aequituberculata,2,35,run2,2014,KI14_2,SAMN49903680
KI14FSYM020_S31_L001,KI14FSYM020_S31_L001_R1_001.fastq.gz,KI14FSYM020_S31_L001_R2_001.fastq.gz,Pocillopora,grandis,20,38,run5,2014,KI14_20,SAMN49903993
KI14FSYM201_S111_L001,KI14FSYM201_S111_L001_R1_001.fastq.gz,KI14FSYM201_S111_L001_R2_001.fastq.gz,Pocillopora,grandis,201,38,run5,2014,KI14_201,SAMN49904005
KI14FSYM204_S132_L001,KI14FSYM204_S132_L001_R1_001.fastq.gz,KI14FSYM204_S132_L001_R2_001.fastq.gz,Pocillopora,grandis,204,38,run5,2014,KI14_204,SAMN49904006
KI14FSYM209_S154_L001,KI14FSYM209_S154_L001_R1_001.fastq.gz,KI14FSYM209_S154_L001_R2_001.fastq.gz,Pocillopora,grandis,209,38,run5,2014,KI14_209,SAMN49904007
KI14FSYM210_S162_L001,KI14FSYM210_S162_L001_R1_001.fastq.gz,KI14FSYM210_S162_L001_R2_001.fastq.gz,Montipora,aequituberculata,210,38,run5,2014,KI14_210,SAMN49904008
KI14FSYM211_S169_L001,KI14FSYM211_S169_L001_R1_001.fastq.gz,KI14FSYM211_S169_L001_R2_001.fastq.gz,Montipora,aequituberculata,211,38,run5,2014,KI14_211,SAMN49904009
KI14FSYM215_S106_L001,KI14FSYM215_S106_L001_R1_001.fastq.gz,KI14FSYM215_S106_L001_R2_001.fastq.gz,Pocillopora,grandis,215,38,run5,2014,KI14_215,SAMN49904010
KI14FSYM216_S112_L001,KI14FSYM216_S112_L001_R1_001.fastq.gz,KI14FSYM216_S112_L001_R2_001.fastq.gz,Pocillopora,grandis,216,38,run5,2014,KI14_216,SAMN49904011
KI14FSYM217_S119_L001,KI14FSYM217_S119_L001_R1_001.fastq.gz,KI14FSYM217_S119_L001_R2_001.fastq.gz,Pocillopora,grandis,217,38,run5,2014,KI14_217,SAMN49904012
KI14FSYM218_S126_L001,KI14FSYM218_S126_L001_R1_001.fastq.gz,KI14FSYM218_S126_L001_R2_001.fastq.gz,Montipora,aequituberculata,218,38,run5,2014,KI14_218,SAMN49904013
KI14FSYM219_S133_L001,KI14FSYM219_S133_L001_R1_001.fastq.gz,KI14FSYM219_S133_L001_R2_001.fastq.gz,Montipora,aequituberculata,219,38,run5,2014,KI14_219,SAMN49904014
KI14FSYM220_S140_L001,KI14FSYM220_S140_L001_R1_001.fastq.gz,KI14FSYM220_S140_L001_R2_001.fastq.gz,Montipora,aequituberculata,220,38,run5,2014,KI14_220,SAMN49904015
KI14FSYM221_S148_L001,KI14FSYM221_S148_L001_R1_001.fastq.gz,KI14FSYM221_S148_L001_R2_001.fastq.gz,Montipora,aequituberculata,221,3,run5,2014,KI14_221,SAMN49903854
KI14FSYM222_S155_L001,KI14FSYM222_S155_L001_R1_001.fastq.gz,KI14FSYM222_S155_L001_R2_001.fastq.gz,Pocillopora,grandis,222,3,run5,2014,KI14_222,SAMN49903855
KI14FSYM225_S163_L001,KI14FSYM225_S163_L001_R1_001.fastq.gz,KI14FSYM225_S163_L001_R2_001.fastq.gz,Montipora,aequituberculata,225,3,run5,2014,KI14_225,SAMN49903856
KI14FSYM228_S93_L001,KI14FSYM228_S93_L001_R1_001.fastq.gz,KI14FSYM228_S93_L001_R2_001.fastq.gz,Pocillopora,grandis,228,3,run5,2014,KI14_228,SAMN49903857
KI14FSYM229_S100_L001,KI14FSYM229_S100_L001_R1_001.fastq.gz,KI14FSYM229_S100_L001_R2_001.fastq.gz,Montipora,aequituberculata,229,3,run5,2014,KI14_229,SAMN49903858
KI14FSYM023_S53_L001,KI14FSYM023_S53_L001_R1_001.fastq.gz,KI14FSYM023_S53_L001_R2_001.fastq.gz,Pocillopora,grandis,23,38,run5,2014,KI14_23,SAMN49903994
KI14FSYM233_S120_L001,KI14FSYM233_S120_L001_R1_001.fastq.gz,KI14FSYM233_S120_L001_R2_001.fastq.gz,Pocillopora,grandis,233,3,run5,2014,KI14_233,SAMN49903859
KI14FSYM250_S121_L001,KI14FSYM250_S121_L001_R1_001.fastq.gz,KI14FSYM250_S121_L001_R2_001.fastq.gz,Montipora,aequituberculata,250,8,run5,2014,KI14_250,SAMN49903875
KI14FSYM251_S127_L001,KI14FSYM251_S127_L001_R1_001.fastq.gz,KI14FSYM251_S127_L001_R2_001.fastq.gz,Pocillopora,grandis,251,8,run5,2014,KI14_251,SAMN49903876
KI14FSYM252_S134_L001,KI14FSYM252_S134_L001_R1_001.fastq.gz,KI14FSYM252_S134_L001_R2_001.fastq.gz,Montipora,aequituberculata,252,8,run5,2014,KI14_252,SAMN49903877
KI14FSYM254_S142_L001,KI14FSYM254_S142_L001_R1_001.fastq.gz,KI14FSYM254_S142_L001_R2_001.fastq.gz,Pocillopora,grandis,254,8,run5,2014,KI14_254,SAMN49903878
KI14FSYM256_S157_L001,KI14FSYM256_S157_L001_R1_001.fastq.gz,KI14FSYM256_S157_L001_R2_001.fastq.gz,Montipora,aequituberculata,256,8,run5,2014,KI14_256,SAMN49903879
KI14FSYM259_S172_L001,KI14FSYM259_S172_L001_R1_001.fastq.gz,KI14FSYM259_S172_L001_R2_001.fastq.gz,Montipora,aequituberculata,259,27,run5,2014,KI14_259,SAMN49903932
KI14FSYM026_S68_L001,KI14FSYM026_S68_L001_R1_001.fastq.gz,KI14FSYM026_S68_L001_R2_001.fastq.gz,Montipora,aequituberculata,26,38,run5,2014,KI14_26,SAMN49903995
